precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
100030,4,30,0,297,0,283,3,4,26,2,6,20,294
100031,12,238,1,1302,2,1263,10,14,241,4,23,183,1301
100032,3,80,1,255,0,238,6,5,71,0,6,62,249
100033,5,96,0,441,2,428,12,9,99,0,13,80,449
100034,9,159,1,707,0,680,4,5,158,3,14,136,707
100039,1,32,0,365,0,359,2,6,33,1,3,30,361
100041,7,127,2,788,1,762,12,16,123,1,13,92,795
100051,1,86,0,239,0,238,3,2,90,0,3,55,246
100052,5,42,1,492,1,481,3,3,39,2,8,35,486
100061,4,81,1,464,2,467,13,5,92,0,11,68,480
100062,10,159,0,755,2,725,9,7,151,0,11,118,752
100063,3,152,0,931,0,920,10,11,171,0,25,135,924
100071,5,83,1,723,0,698,3,12,84,1,13,72,716
110001,8,563,1,480,5,446,30,13,544,8,35,421,524
110002,21,791,3,1019,7,922,26,28,754,8,49,521,1122
110003,14,611,2,810,6,757,40,24,588,4,44,418,897
110004,20,708,3,774,5,698,39,28,671,7,44,518,843
110005,4,131,1,128,1,112,6,7,124,2,8,90,144
110006,3,171,1,308,1,273,11,4,143,3,16,95,342
110007,1,63,0,78,3,69,6,2,52,3,7,52,86
110008,0,171,1,251,1,225,7,6,152,2,12,126,263
110009,4,241,0,573,2,543,12,12,223,3,13,149,597
110010,7,434,3,907,1,811,10,27,378,3,21,276,943
110011,5,124,0,294,1,282,7,6,124,1,10,81,309
110012,13,303,1,713,4,640,17,24,275,2,31,217,727
110013,3,220,1,408,2,373,8,15,202,5,15,162,419
110014,8,312,2,636,1,581,10,12,273,2,9,215,662
110015,5,243,2,838,2,789,9,12,223,3,24,144,865
110016,2,99,0,256,1,243,2,3,92,2,4,64,258
110017,3,117,0,243,2,228,5,4,110,0,7,81,249
110018,2,73,0,214,1,198,7,5,57,1,4,51,214
110019,6,208,2,518,2,467,9,22,185,5,14,144,526
110020,4,449,2,572,0,516,36,20,414,0,29,300,635
110021,4,99,0,336,0,315,9,5,90,0,8,70,334
110022,2,64,0,225,0,197,2,7,55,0,11,51,213
110023,7,79,1,202,2,189,2,5,77,0,3,57,213
110025,10,245,0,440,1,375,10,11,221,3,18,144,446
120101,2,100,1,597,0,594,4,5,105,1,7,80,594
120104,2,68,1,556,0,543,3,6,73,1,9,46,547
120105,2,122,0,73,0,64,1,2,123,0,5,96,70
120106,1,64,0,240,0,236,3,8,71,2,6,53,238
120207,0,20,0,93,0,92,3,1,20,0,3,12,94
120208,7,74,1,357,2,348,6,4,78,0,7,57,363
120209,0,50,0,124,0,117,2,2,51,0,6,37,126
120210,2,53,0,502,1,489,1,5,51,2,4,39,503
120211,1,31,0,60,0,52,0,0,28,0,3,23,58
120214,5,127,0,168,0,155,2,4,133,0,8,109,162
120215,1,57,0,151,0,150,0,3,61,1,2,47,155
120316,2,136,0,424,1,416,2,10,142,1,4,113,416
120318,0,44,0,344,1,335,3,4,41,0,4,30,335
120319,2,42,0,312,0,295,0,8,37,0,1,27,303
120320,1,24,0,153,0,146,1,1,19,1,2,16,143
120321,5,43,0,339,1,323,2,2,34,0,2,36,327
120322,3,15,0,205,0,200,1,2,15,0,1,17,194
130002,0,16,1,159,0,153,1,2,18,0,5,17,150
130003,3,8,0,153,0,151,3,1,10,0,1,13,149
130004,2,12,0,183,2,179,2,3,11,1,2,13,178
130005,1,10,0,153,0,152,2,1,12,0,2,14,146
130006,0,14,0,268,0,257,1,4,13,0,3,14,257
130007,0,4,0,54,0,56,1,0,6,0,1,1,57
140001,19,1191,8,1194,9,1176,46,22,1183,7,43,659,1579
140002,3,411,0,223,3,206,15,9,413,6,23,306,262
140003,6,501,0,346,2,335,22,7,496,4,23,294,475
140004,10,620,3,1396,10,1396,29,11,614,4,23,347,1575
140005,24,836,4,1487,4,1454,36,29,854,8,54,588,1668
140006,5,744,1,206,0,203,11,6,755,4,15,429,350
140007,8,659,6,1600,3,1553,29,26,648,8,48,408,1761
140008,4,619,2,176,2,176,18,8,624,6,20,392,289
140009,14,803,10,1457,10,1426,57,31,792,4,49,573,1606
140010,8,385,2,593,2,563,22,13,380,3,29,259,651
140011,6,776,2,276,1,278,21,13,789,4,22,473,447
140012,11,779,3,930,4,916,39,23,796,14,56,515,1100
140013,3,268,1,109,0,106,12,7,283,1,15,191,158
140014,10,721,1,293,1,269,43,27,729,6,40,534,415
140015,13,782,1,371,6,358,20,10,785,6,26,510,523
140016,7,542,4,870,6,825,25,23,512,11,33,360,957
140017,2,137,0,416,1,408,8,5,143,1,18,104,436
140018,11,802,4,354,7,356,36,19,809,9,28,600,481
140019,14,1190,2,709,10,700,38,21,1209,10,51,761,944
140020,12,876,5,1634,4,1593,22,20,868,8,42,546,1827
140021,5,325,3,630,2,600,25,19,326,4,40,239,666
140022,18,745,5,1374,8,1292,50,34,707,6,57,519,1464
140024,19,1079,3,1902,3,1814,78,40,1036,10,80,748,2097
140025,9,284,2,603,2,582,20,16,295,2,30,222,629
140026,20,983,2,853,3,828,44,35,1024,6,60,645,1070
140027,12,1011,5,1188,4,1209,32,15,1039,10,38,509,1516
140028,23,1211,5,669,3,634,45,47,1247,15,68,882,884
140029,15,363,4,1224,4,1166,21,27,345,4,25,256,1275
140030,3,428,2,607,1,598,17,13,444,1,26,273,683
140032,19,1058,4,588,11,543,44,37,1077,13,68,768,763
140034,9,373,5,1471,6,1412,16,34,357,7,28,247,1515
140035,6,492,1,515,4,539,19,17,523,5,20,265,686
140036,13,326,4,974,2,930,16,17,315,5,25,233,1015
140037,14,588,0,875,2,838,53,11,591,5,72,453,984
140038,5,329,0,857,4,820,21,23,331,3,39,252,897
140039,12,713,2,600,2,600,31,16,718,9,29,421,787
140040,12,667,0,895,5,872,32,19,685,4,41,449,1044
140041,6,275,1,338,4,317,4,19,292,1,17,214,369
140042,8,502,2,268,1,274,15,8,508,0,6,260,414
140043,14,787,3,1210,1,1179,28,23,794,4,39,523,1347
140044,12,810,5,1288,2,1199,52,39,780,6,69,591,1405
140045,8,182,0,474,0,451,7,10,193,0,19,115,502
140047,17,475,2,828,6,770,32,31,463,11,49,363,881
140048,13,430,7,744,4,708,28,19,426,5,40,354,783
